# 組織名,略称,URL
首相官邸,官邸,http://www.kantei.go.jp
内閣府,内閣,https://www.cao.go.jp
内閣府防災,内閣防災,http://www.bousai.go.jp
復興庁,,https://www.reconstruction.go.jp
公正取引委員会,公取委,https://www.jftc.go.jp
日本学術会議,,http://www.scj.go.jp
警察庁,,http://www.npa.go.jp
金融庁,,https://www.fsa.go.jp
消費者庁,,https://www.caa.go.jp
総務省,,https://www.soumu.go.jp
消防庁,,https://www.fdma.go.jp
法務省,,http://www.moj.go.jp
外務省,,https://www.mofa.go.jp
財務省,,https://www.mof.go.jp
国税庁,,https://www.nta.go.jp
文部科学省,文科省,https://www.mext.go.jp
文化庁,,https://www.bunka.go.jp
厚生労働省,厚労省,https://www.mhlw.go.jp
農林水産省,農水省,https://www.maff.go.jp
経済産業省,経産省,https://www.meti.go.jp
特許庁,,https://www.jpo.go.jp
中小企業庁,,https://www.chusho.meti.go.jp
国土交通省,国交省,http://www.mlit.go.jp
国土地理院,,https://www.gsi.go.jp
気象庁,,https://www.jma.go.jp
海上保安庁,海保,https://www.kaiho.mlit.go.jp
環境省,,http://www.env.go.jp
原子力規制委員会,,http://www.nsr.go.jp
防衛省,,http://www.mod.go.jp
中小企業基盤整備機構,,https://j-net21.smrj.go.jp
