# 組織名,略称,URL
北海道,,http://www.pref.hokkaido.lg.jp
青森県,青森,http://www.pref.aomori.lg.jp
岩手県,岩手,https://www.pref.iwate.jp
宮城県,宮城,http://www.pref.miyagi.jp
秋田県,秋田,https://www.pref.akita.lg.jp
山形県,山形,http://www.pref.yamagata.jp
福島県,福島,http://www.pref.fukushima.lg.jp
茨城県,茨城,https://www.pref.ibaraki.jp
栃木県,栃木,http://www.pref.tochigi.lg.jp
群馬県,群馬,https://www.pref.gunma.jp
埼玉県,埼玉,https://www.pref.saitama.lg.jp
千葉県,千葉,https://www.pref.chiba.lg.jp
東京都,東京,https://www.metro.tokyo.lg.jp
神奈川県,神奈川,https://www.pref.kanagawa.jp
新潟県,新潟,https://www.pref.niigata.lg.jp
富山県,富山,http://www.pref.toyama.jp
石川県,石川,https://www.pref.ishikawa.lg.jp
福井県,福井,https://www.pref.fukui.lg.jp
山梨県,山梨,https://www.pref.yamanashi.jp
長野県,長野,https://www.pref.nagano.lg.jp
岐阜県,岐阜,https://www.pref.gifu.lg.jp
静岡県,静岡,https://www.pref.shizuoka.jp
愛知県,愛知,https://www.pref.aichi.jp
三重県,三重,https://www.pref.mie.lg.jp
滋賀県,滋賀,https://www.pref.shiga.lg.jp
京都府,京都,https://www.pref.kyoto.jp
大阪府,大阪,http://www.pref.osaka.lg.jp
兵庫県,兵庫,https://web.pref.hyogo.lg.jp
奈良県,奈良,http://www.pref.nara.jp
和歌山県,和歌山,https://www.pref.wakayama.lg.jp
鳥取県,鳥取,https://www.pref.tottori.lg.jp
島根県,島根,https://www.pref.shimane.lg.jp
岡山県,岡山,https://www.pref.okayama.jp
広島県,広島,https://www.pref.hiroshima.lg.jp
山口県,山口,https://www.pref.yamaguchi.lg.jp
徳島県,徳島,https://www.pref.tokushima.lg.jp
香川県,香川,https://www.pref.kagawa.lg.jp
愛媛県,愛媛,https://www.pref.ehime.jp
高知県,高知,https://www.pref.kochi.lg.jp
福岡県,福岡,https://www.pref.fukuoka.lg.jp
佐賀県,佐賀,https://www.pref.saga.lg.jp
長崎県,長崎,https://www.pref.nagasaki.lg.jp
熊本県,熊本,https://www.pref.kumamoto.jp
大分県,大分,https://www.pref.oita.jp
宮崎県,宮崎,https://www.pref.miyazaki.lg.jp
鹿児島県,鹿児島,https://www.pref.kagoshima.jp
沖縄県,沖縄,https://www.pref.okinawa.jp
