愛媛県,,https://www.pref.ehime.jp/h10500/kojinjigyo/kojin_kigenencho.html,愛媛県庁／新型コロナウイルス感染症拡大に伴う県税の特例措置について,愛媛県庁／新型コロナウイルス感染症拡大に伴う県税の特例措置について ホーム&gt;くらし・防災・環境&gt;税金&gt;県税の特別措置等&gt;新型コロナウイルス感染症拡大に伴う県税の特例措置について 新型コロナウイルス感染症拡大に伴う県税の特例措置について 県では、新型コロナウイルス感染症拡大防止の観点から、県税の申告等の期限を延長することとしましたので、お知らせします。 なお、昨今の新型コロナウイルス感染症の各地での感染の拡大状況に鑑み、更に申告会場の混雑緩和を徹底する観点から、感染拡大により外出を控えるなど期限内に申告することが困難な方については、期限を区切らずに、4月17日（金曜日）以降であっても柔軟に申告書を受け付けることといたしました。申告書の作成又は来庁することが可能になった時点で地方局へ申し出ていただければ、申告期限延長の取扱いをさせていただきます。（令和2年4月10日追加） また、今後新型コロナウイルス感染症拡大の影響により決算が確定できない場合等の法人県民税・事業税の申告納付期限の延長申請や県税を一時に納付することが困難な場合の納税の猶予制度もありますので併せてご案内します。 詳しくは「県税の特例措置について」（PDF：155KB）、新型コロナ猶予制度のチラシ（PDF：260KB）、猶予制度のチラシ（PDF：130KB）、地方税ポータルシステム（eLTAX）のホームページ（外部サイトへリンク）をご覧ください。 新型コロナウイルス感染症の拡大防止の重要性に鑑み、 新型コロナウイルス感染症の拡大防止の観点から、郵送申請が可能な方（案内文書を送付している方のうち下記条件にすべて当てはまる方もしくは障がい者の方本人が運転する場合で昨年度と変更のない方）について、郵送申請の場合に限り申請受付期間を令和2年6月1日(月曜日)（消印有効）まで延長することとしましたのでお知らせします。
桜井市,奈良県,https://www.city.sakurai.lg.jp/sosiki/kikikanrikan/kikikanrika/corona/1582863618276.html,新型コロナウイルス感染症に関する情報／桜井市ホームページ,新型コロナウイルス感染症に関する情報／桜井市ホームページ 新型コロナウイルス関連情報 新型コロナウイルス感染症に関する情報 新型コロナウイルス感染症に関する情報 新型コロナウイルス感染症対策にかかる主な支援制度等の相談窓口 新型コロナウイルスが絡む犯罪被害の防止 【新型コロナウイルス】市長からのメッセージ 新型コロナウイルス感染者（患者）に関する情報 新型コロナウイルス感染症の感染を拡大させるリスクが高いのは、 新型コロナウイルス感染症に関連した、よくあるお問い合わせと回答を一覧表にまとめました。 （Vol.1）新型コロナよくあるお問合せ（R2.4.22）（PDF：144.2KB） 新型コロナウイルス感染症に関する市の対策方針を決定しました。 （第11報）新型コロナウイルス感染症対策について（令和2年4月22日・桜井市方針）（PDF：319.5KB） 中止・延期するイベントは「行事・イベント等の延期または中止について（新型コロナウイルス関連)」のページでご確認ください。（随時更新） 新型コロナウイルスの感染拡大を防ぐため、市役所の市民課窓口に来庁せずにできる手続き及び手続き期間の延長・拡大について別ページで案内していますので、ぜひご利用・ご検討ください。 新型コロナウイルスを防ぐには(厚生労働省ホームページ) 新型コロナウイルス感染症についての相談・受診の目安(厚生労働省ホームページ) 新型コロナウイルス感染症対策にかかる主な支援制度等の相談窓口 新型コロナウイルス感染症の影響を受け、休業等により収入の減少があり、緊急かつ一時的な生計維持のための貸付けを必要とする世帯を対象に特例措置があります。 新型コロナウイルス感染症の影響を受け、収入の減少や失業等により生活に困窮し、日常生活の維持が困難となっている世帯を対象に特例措置があります。 新型コロナウイルス感染症の影響による離職や収入の減少等により、生活に困窮された方のための、家計や仕事、住まい等についての幅広い課題に対する相談支援窓口があります。 新型コロナウイルス感染症の影響により、市税の納付や上下水道料金の支払いが困難な場合は、法令及び条例に基づき、納税や上下水道料金の支払いが猶予される場合があります。 新型コロナウイルス感染症の影響により納税が困難な方へ 新型コロナウイルス感染症の影響に伴う上下水道料金のお支払いについて 新型コロナウイルスが絡む犯罪被害の防止 新型コロナウイルスの感染拡大に乗じ、様々な犯罪が起きています。 新型コロナウィルスが絡む犯罪被害の防止について 新型コロナウイルス感染症に関するＱＡ(厚生労働省ホームページ) 新型コロナウイルスに関する企業の方向けＱＡ(厚生労働省ホームページ) 新型コロナウイルス感染症に関する医療機関・検査機関向けＱＡ(厚生労働省ホームページ) 新型コロナウイルスに関連した感染症対策に関する対応について（内閣官房ホームページ) 新型コロナウイルス関連情報 新型コロナウイルス感染症に関する情報 行事・イベント等の延期または中止について（新型コロナウイルス関連） 新型コロナウイルス感染症に係る学童保育所の取り扱いについて（令和2年4月9日9：00更新） 新型コロナウイルス対策本部の設置について 【新型コロナウイルス】市長からのメッセージ 新型コロナウイルス感染者（患者）に関する情報 新型コロナウィルスが絡む犯罪被害の防止について
東京都,,https://www.metro.tokyo.lg.jp/tosei/hodohappyo/press/2020/03/05/27.html,事業継続緊急対策（テレワーク）助成金 開始（第70報）｜東京都,東京都新型コロナウイルス感染症対策本部 東京都は、新型コロナウイルス感染症等の拡大防止対策として、令和2年3月6日より都内企業のテレワーク環境整備を支援する助成金の募集を開始します。
三木市,兵庫県,https://www.city.miki.lg.jp/soshiki/24/22126.html,新型コロナウイルスの影響による収入減でお困りの方へ - 三木市ホームページ,新型コロナウイルスの影響による収入減でお困りの方へ-三木市ホームページ 新型コロナウイルスの影響による収入減でお困りの方へ 新型コロナウイルス特例貸付等について 新型コロナウイルスの影響を受け、休業等により収入の減少があり、緊急かつ一時的な生計維持のための貸付を必要とする世帯に特例貸付制度が実施されることになりました。
気仙沼市,宮城県,https://www.kesennuma.miyagi.jp/sec/s142/010/010/010/010/20200319145327.html,新型コロナウイルス感染症の影響により,市ガス上下水道料金のお支払いが困難な方へ - 気仙沼市役所,新型コロナウイルス感染症の影響により 市ガス上下水道料金のお支払いが困難な方へ-気仙沼市役所 トップページ&gt;暮らしの情報&gt;くらし・手続き&gt;上水道&gt;水道料金・メーター&gt;新型コロナウイルス感染症の影響により 市ガス上下水道料金のお支払いが困難な方へ新型コロナウイルス感染症の影響により 市ガス上下水道料金のお支払いが困難な方へ 新型コロナウイルス感染症の影響を受け 収入が大幅に減少した等の事情により 市ガス上下水道料金のお支払いが困難な方は 支払いの猶予等のご相談に応じますので 下記までお問い合わせください。
枚方市,大阪府,https://www.city.hirakata.osaka.jp/0000027992.html,新型コロナウイルス感染症に係るひとり親等のための休業手当金制度について | 枚方市ホームページ,新型コロナウイルス感染症に係るひとり親等のための休業手当金制度について|枚方市ホームページ 新型コロナウイルス関連情報 新型コロナウイルス関連情報（支援・相談） 新型コロナウイルス感染症に係るひとり親等のための休業手当金制度について 新型コロナウイルス感染症に係るひとり親等のための休業手当金制度について 新型コロナウイルス等の感染症拡大に伴い、市内の各学校（園）等の施設が5月6日（水）まで原則、休所や休止となっています。施設閉鎖に伴い、子どもの監護のために、休業したことに伴う経済的支援として、本市では新型コロナウイルス感染症に係るひとり親等のための休業手当金制度を創設しています。 申請書に、所定の休業証明書などを添付して、市役所別館2階年金児童手当課で受付します。※申請は新型コロナウイルス感染症の拡大防止のため、原則郵送による受付となりますが、児童扶養手当の受給確認等が必要なため、年金児童手当課までご連絡願います。 新型コロナウイルス感染症拡大に伴う年金・児童手当等手続きについて 新型コロナウイルス感染症に係るひとり親等のための休業手当金制度についてへの別ルート
石狩市,北海道,http://www.city.ishikari.hokkaido.jp/soshiki/nouzei/51170.html,新型コロナウイルス関連で徴収猶予の特例制度が予定されています - 北海道石狩市公式ホームページ,新型コロナウイルス関連で徴収猶予の特例制度が予定されています-北海道石狩市公式ホームページ ホーム&gt;分類でさがす&gt;くらしの情報&gt;税金&gt;市税を納める&gt;新型コロナウイルス関連で徴収猶予の特例制度が予定されています 新型コロナウイルス関連で徴収猶予の特例制度が予定されています 新型コロナウイルス感染症の影響により納税が困難な方へ 新型コロナウイルス感染症の影響により、事業等に係る収入が相当減少した方で、市税を納期限内に納税することができない場合、申請して認められることで&nbsp;・原則1年以内の期間で分割納付することができる・原則1年以内の期間で納める時期を遅らせることができる特例制度が予定されています。（特例制度の実施は今後、関係法案が国会で成立することが前提となります）この特例制度を利用すると&nbsp;・担保の提供が不要・延滞金がかかりません※特例制度が正式に決まりましたら、詳細を石狩市公式ホームページなどでお知らせします。地方税における猶予制度（既存の制度）
西原町,沖縄県,http://www.town.nishihara.okinawa.jp/news/200410/04-news.html,沖縄県西原町｜新型コロナウイルス感染症の影響を受ける方々に対する支援策の一覧について,沖縄県西原町｜新型コロナウイルス感染症の影響を受ける方々に対する支援策の一覧について Home&nbsp;&gt;&nbsp;新型コロナウイルス関連情報&nbsp;&gt;&nbsp;新型コロナウイルス感染症の影響を受ける方々に対する支援策の一覧について 新型コロナウイルス感染症の影響を受ける方々に対する支援策の一覧について ※新型コロナウイルス感染拡大に伴う政府の緊急経済対策による給付金事業については、制度の詳細や申請方法などが決定次第、こちらのページにて周知していきますのでご確認ください。 新型コロナウイルス感染症の影響による休業や失業で、生活資金でお悩みの方 新型コロナウイルス感染症の影響を受ける方々に対する支援策の一覧について 新型コロナウイルス感染症ご利用くださいお役立ち情報
丹波市,兵庫県,https://www.city.tamba.lg.jp/site/corona/seikatuhukushishikin.html,新型コロナウイルス感染症の影響による休業や失業により生活資金にお困りのみなさまへ - 丹波市ホームページ,新型コロナウイルス感染症の影響による休業や失業により生活資金にお困りのみなさまへ-丹波市ホームページ フロントページ&gt;分類でさがす&gt;くらしの情報&gt;防災・防犯・安心安全&gt;緊急情報・お知らせ&gt;新型コロナウイルス感染症情報サイト&gt;新型コロナウイルス感染症の影響による休業や失業により生活資金にお困りのみなさまへ 新型コロナウイルス感染症情報サイト 新型コロナウイルス感染症対策本部会議 新型コロナウイルス感染症の影響による休業や失業により生活資金にお困りのみなさまへ 各都道府県社会福祉協議会では、新型コロナウイルス感染症の影響を踏まえ、貸付の対象を従来の低所得者世帯以外に拡大し、休業や失業等により生活資金などでお悩みの方々に向けた、緊急小口資金等の特例貸付が行われています。 「新型コロナウイルス感染症の影響を受け、休業等により収入の減少があり、緊急かつ一時的な生活維持のための貸付を必要とする世帯」が対象です。 &nbsp;生活福祉資金（緊急小口資金・新型コロナウイルス特例貸付）のしおり（兵庫県・丹波市社会福祉協議会）[PDFファイル／1.99MB] 「新型コロナウイルスの影響を受け、収入の減少や失業により、生活に困窮し、日常生活の維持が困難になっている世帯」が対象です。 ・生活福祉資金（総合支援資金・新型コロナウイルス特例貸付）のしおり（兵庫県・丹波市社会福祉協議会）[PDFファイル／901KB]
神奈川県,,https://www.pref.kanagawa.jp/docs/k5n/soudan/shucho.html,出張労働相談 - 神奈川県ホームページ,新型コロナウイルス感染症の影響による労働相談も受け付けています。 ※新型コロナウイルス感染症の拡大防止のため、当面の間、原則として電話での相談とし、来所での相談は実施しません。詳しくは各窓口の問合せ先までお問い合わせください。
